pdv_anonimizado,codigo_barras_sku,first_date,last_date,history_days,fill_rate,fill_rate_last_30,fill_rate_last_90,fill_rate_last_120,total_sales,mean_sales,days_since_last_sale,global_max_date,series_class
1,78905351,2022-12-23,2024-12-05,714,0.357,0.367,0.344,0.342,1117.0,1.56,5,2024-12-10,C
1,78905498,2022-12-01,2024-12-08,739,0.49,0.633,0.256,0.292,3205.0,4.34,2,2024-12-10,C
1,78908901,2024-11-07,2024-12-10,34,1.0,1.0,1.0,1.0,1126.0,33.12,0,2024-12-10,C
1,78909045,2022-12-01,2024-09-26,666,0.913,0.867,0.922,0.758,23087.0,34.67,75,2024-12-10,D
1,78912939,2022-12-01,2024-12-01,732,0.798,0.1,0.222,0.408,26608.0,36.35,9,2024-12-10,C
1,78933873,2024-09-30,2024-12-09,71,1.0,1.0,1.0,1.0,12066.0,169.94,1,2024-12-10,C
1,78934115,2022-12-01,2024-10-02,672,0.318,0.133,0.089,0.133,1775.0,2.64,69,2024-12-10,D
1,78935495,2022-12-01,2024-12-08,739,0.629,0.233,0.267,0.3,4801.0,6.5,2,2024-12-10,C
1,78936478,2022-12-01,2024-12-09,740,0.886,1.0,0.989,0.992,7144.0,9.65,1,2024-12-10,A
1,78936683,2022-12-01,2024-12-09,740,0.991,1.0,1.0,0.992,52233.0,70.59,1,2024-12-10,A
1,78937765,2022-12-01,2023-12-19,384,0.779,0.7,0.778,0.767,1452.0,3.78,357,2024-12-10,D
1,78938571,2022-12-01,2024-12-09,740,0.826,1.0,0.767,0.825,4550.0,6.15,1,2024-12-10,A
1,78939745,2022-12-01,2024-12-09,740,0.835,1.0,0.956,0.967,6509.0,8.8,1,2024-12-10,A
1,78942233,2022-12-08,2023-03-22,105,0.2,0.2,0.167,0.2,107.0,1.02,629,2024-12-10,D
1,678963100206,2022-12-01,2024-12-07,738,0.188,0.333,0.167,0.133,2856.0,3.87,3,2024-12-10,C
1,4002103248675,2022-12-02,2023-10-26,329,0.067,0.1,0.1,0.075,32.0,0.1,411,2024-12-10,D
1,4066600020042,2022-12-24,2023-09-06,257,0.086,0.167,0.133,0.133,31.0,0.12,461,2024-12-10,D
1,4066600060741,2022-12-12,2024-07-28,595,0.173,0.133,0.156,0.175,198.0,0.33,135,2024-12-10,D
1,4066600303336,2022-12-26,2023-09-23,272,0.077,0.267,0.178,0.142,25.0,0.09,444,2024-12-10,D
1,4066600611349,2022-12-15,2023-10-07,297,0.074,0.067,0.078,0.083,43.0,0.14,430,2024-12-10,D
1,4066600941910,2022-12-10,2024-11-30,722,0.018,0.067,0.033,0.025,19.0,0.03,10,2024-12-10,C
1,4066600999911,2022-12-16,2024-10-01,656,0.081,0.167,0.144,0.117,71.0,0.11,70,2024-12-10,D
1,5410228141785,2022-12-01,2024-01-27,423,0.158,0.3,0.244,0.183,220.0,0.52,318,2024-12-10,D
1,7891149010103,2022-12-01,2024-12-08,739,0.812,1.0,0.9,0.875,26455.0,35.8,2,2024-12-10,A
1,7891149010509,2022-12-01,2024-12-10,741,0.992,1.0,1.0,1.0,44887.0,60.58,0,2024-12-10,A
1,7891149011001,2022-12-04,2024-12-09,737,0.674,0.733,0.6,0.583,4288.0,5.82,1,2024-12-10,B
1,7891149040308,2023-02-10,2024-02-04,360,0.742,0.8,0.633,0.65,1776.0,4.93,310,2024-12-10,D
1,7891149040346,2023-02-16,2024-01-31,350,0.091,0.2,0.144,0.117,43.0,0.12,314,2024-12-10,D
1,7891149100002,2022-12-01,2024-12-09,740,0.95,0.933,0.933,0.933,6727.0,9.09,1,2024-12-10,A
1,7891149100019,2022-12-01,2024-12-09,740,0.893,0.967,0.967,0.975,4221.0,5.7,1,2024-12-10,A
1,7891149100828,2023-02-14,2024-12-01,657,0.026,0.1,0.056,0.05,19.0,0.03,9,2024-12-10,C
1,7891149101528,2022-12-01,2024-12-09,740,0.803,0.7,0.867,0.892,8213.0,11.1,1,2024-12-10,A
1,7891149102303,2022-12-23,2024-07-21,577,0.01,0.033,0.033,0.025,6.0,0.01,142,2024-12-10,D
1,7891149102808,2022-12-01,2024-12-09,740,0.912,0.967,0.989,0.917,5181.0,7.0,1,2024-12-10,A
1,7891149102877,2023-07-07,2023-07-08,2,1.0,1.0,1.0,1.0,8.0,4.0,521,2024-12-10,D
1,7891149103065,2022-12-01,2024-07-07,585,0.379,0.333,0.2,0.15,1953.0,3.34,156,2024-12-10,D
1,7891149103072,2022-12-01,2024-01-06,402,0.214,0.233,0.156,0.117,206.0,0.51,339,2024-12-10,D
1,7891149103270,2022-12-04,2024-03-29,482,0.162,0.033,0.011,0.008,481.0,1.0,256,2024-12-10,D
1,7891149103300,2022-12-01,2024-12-09,740,0.692,0.767,0.667,0.65,22482.0,30.38,1,2024-12-10,B
1,7891149104468,2023-11-05,2023-11-05,1,1.0,1.0,1.0,1.0,1.0,1.0,401,2024-12-10,D
1,7891149104932,2022-12-01,2024-12-09,740,0.87,0.967,0.944,0.942,18662.0,25.22,1,2024-12-10,A
1,7891149104949,2022-12-19,2024-12-07,720,0.029,0.033,0.044,0.067,22.0,0.03,3,2024-12-10,C
1,7891149104956,2022-12-08,2024-03-03,452,0.261,0.2,0.178,0.158,434.0,0.96,282,2024-12-10,D
1,7891149104963,2022-12-22,2024-02-07,413,0.036,0.133,0.044,0.05,20.0,0.05,307,2024-12-10,D
1,7891149107476,2022-12-05,2023-08-11,250,0.392,0.467,0.422,0.4,265.0,1.06,487,2024-12-10,D
1,7891149107490,2022-12-01,2024-12-08,739,0.233,0.267,0.167,0.192,578.0,0.78,2,2024-12-10,C
1,7891149107513,2022-12-01,2024-12-08,739,0.34,0.167,0.267,0.275,729.0,0.99,2,2024-12-10,C
1,7891149107773,2022-12-01,2024-12-09,740,0.93,0.9,0.922,0.917,9160.0,12.38,1,2024-12-10,A
1,7891149107797,2022-12-01,2024-12-09,740,0.969,1.0,1.0,1.0,10728.0,14.5,1,2024-12-10,A
1,7891149108053,2022-12-17,2023-06-17,183,0.148,0.067,0.089,0.108,108.0,0.59,542,2024-12-10,D
1,7891149108282,2022-12-01,2024-12-09,740,0.601,0.933,0.722,0.7,5386.0,7.28,1,2024-12-10,B
1,7891149108404,2022-12-02,2022-12-16,15,0.667,0.667,0.667,0.667,180.0,12.0,725,2024-12-10,D
1,7891149108428,2022-12-01,2023-05-28,179,0.397,0.533,0.456,0.45,279.0,1.56,562,2024-12-10,D
1,7891149108435,2022-12-11,2023-05-20,161,0.05,0.033,0.022,0.033,9.0,0.06,570,2024-12-10,D
1,7891149108466,2022-12-24,2024-11-24,702,0.067,0.033,0.056,0.042,269.0,0.38,16,2024-12-10,C
1,7891149108510,2022-12-02,2024-12-08,738,0.171,0.267,0.222,0.217,198.0,0.27,2,2024-12-10,C
1,7891149108534,2022-12-03,2024-08-18,625,0.334,0.133,0.044,0.142,455.0,0.73,114,2024-12-10,D
1,7891149108640,2024-06-15,2024-12-08,177,0.169,0.4,0.133,0.158,106.0,0.6,2,2024-12-10,C
1,7891149108695,2022-12-01,2024-12-09,740,0.265,0.367,0.344,0.3,368.0,0.5,1,2024-12-10,C
1,7891149108718,2022-12-01,2024-12-09,740,0.882,0.933,0.911,0.908,8413.0,11.37,1,2024-12-10,A
1,7891149108725,2022-12-01,2024-12-05,736,0.594,0.167,0.289,0.283,1214.0,1.65,5,2024-12-10,C
1,7891149108732,2022-12-21,2024-10-10,660,0.029,0.033,0.022,0.017,25.0,0.04,61,2024-12-10,D
1,7891149108749,2023-02-17,2024-12-09,662,0.678,0.667,0.722,0.683,4076.0,6.16,1,2024-12-10,B
1,7891149108756,2023-02-18,2024-12-09,661,0.38,0.2,0.222,0.225,557.0,0.84,1,2024-12-10,C
1,7891149108763,2023-02-26,2024-09-28,581,0.045,0.133,0.089,0.067,30.0,0.05,73,2024-12-10,D
1,7891149109005,2023-02-19,2024-08-30,559,0.54,0.533,0.333,0.333,1142.0,2.04,102,2024-12-10,D
1,7891149109722,2022-12-03,2023-06-17,197,0.122,0.167,0.111,0.117,53.0,0.27,542,2024-12-10,D
1,7891149109746,2022-12-01,2023-11-21,356,0.902,0.233,0.7,0.75,8025.0,22.54,385,2024-12-10,D
1,7891149109753,2022-12-01,2023-11-03,338,0.645,0.2,0.333,0.375,854.0,2.53,403,2024-12-10,D
1,7891149200504,2022-12-01,2024-12-10,741,0.989,1.0,1.0,1.0,57726.0,77.9,0,2024-12-10,A
1,7891149201006,2022-12-01,2024-12-08,739,0.668,0.7,0.644,0.633,5562.0,7.53,2,2024-12-10,B
1,7891149210305,2022-12-01,2023-08-06,249,0.57,0.633,0.7,0.708,411.0,1.65,492,2024-12-10,D
1,7891149210343,2022-12-02,2023-08-06,248,0.036,0.1,0.033,0.042,11.0,0.04,492,2024-12-10,D
1,7891149210503,2022-12-02,2024-11-13,713,0.788,0.933,0.733,0.725,2956.0,4.15,27,2024-12-10,B
1,7891149440603,2022-12-01,2024-12-04,735,0.569,0.333,0.644,0.717,1400.0,1.9,6,2024-12-10,C
1,7891149440801,2022-12-01,2024-12-09,740,0.892,0.267,0.756,0.817,9535.0,12.89,1,2024-12-10,C
1,7891149840915,2022-12-01,2023-07-31,243,0.918,0.9,0.967,0.95,3306.0,13.6,498,2024-12-10,D
1,7891149840922,2022-12-01,2023-07-27,239,0.464,0.2,0.422,0.442,259.0,1.08,502,2024-12-10,D
1,7891149841011,2022-12-02,2024-12-07,737,0.726,0.5,0.544,0.533,2504.0,3.4,3,2024-12-10,B
1,7891991000178,2022-12-01,2024-12-08,739,0.725,0.9,0.778,0.758,19614.0,26.54,2,2024-12-10,B
1,7891991000727,2022-12-01,2024-12-09,740,0.954,0.967,0.978,0.983,7243.0,9.79,1,2024-12-10,A
1,7891991000796,2022-12-01,2024-12-09,740,0.989,1.0,1.0,1.0,82697.0,111.75,1,2024-12-10,A
1,7891991000819,2023-09-16,2024-12-09,451,0.776,0.967,0.9,0.892,1527.0,3.39,1,2024-12-10,B
1,7891991000826,2022-12-01,2024-12-10,741,0.939,1.0,0.789,0.842,6164.0,8.32,0,2024-12-10,A
1,7891991000833,2023-09-16,2024-12-09,451,0.854,0.9,0.856,0.842,1589.0,3.52,1,2024-12-10,A
